,FDOM,DOC,Season,Freshet
2018-02-12,10.14375,0.9,winter,Not freshet
2018-03-05,9.6575,1.1,winter,Not freshet
2018-04-03,9.120416666666666,0.98,winter,Not freshet
2018-05-07,37.276666666666664,3.5,spring,Freshet
2018-06-04,14.960833333333333,1.0,spring,Freshet
2018-07-02,19.05375,1.2,summer,Not freshet
2018-08-13,17.289583333333333,1.1,summer,Not freshet
2018-09-04,12.3075,0.95,winter,Not freshet
2018-10-01,29.241666666666664,1.6,winter,Not freshet
2018-11-05,15.625,0.99,winter,Not freshet
2018-12-03,17.871666666666666,1.0,winter,Not freshet
2019-01-07,16.65625,1.3,winter,Not freshet
2019-02-04,14.162916666666668,1.0,winter,Not freshet
2019-03-04,34.282916666666665,1.6,winter,Not freshet
2019-04-01,18.48,1.1,winter,Not freshet
2019-05-10,27.212083333333336,1.5,spring,Freshet
2019-06-03,23.980833333333333,1.2,spring,Freshet
2019-07-01,21.285833333333333,1.1,summer,Not freshet
2019-08-05,7.179458333333333,0.62,summer,Not freshet
2019-09-02,11.809583333333334,0.7,winter,Not freshet
2019-10-07,15.507083333333334,0.95,winter,Not freshet
2019-11-04,10.954583333333334,0.9,winter,Not freshet
2019-12-09,23.199166666666667,1.1,winter,Not freshet
2020-01-06,31.0,1.5,winter,Not freshet
2020-02-06,17.28875,2.0,winter,Not freshet
2020-03-02,14.524166666666666,1.1,winter,Not freshet
2020-04-14,17.96125,1.1,winter,Not freshet
2020-05-04,35.819583333333334,4.9,spring,Freshet
2020-05-20,29.092916666666667,3.8,spring,Freshet
2020-05-29,48.8609090909091,4.1,spring,Freshet
2020-06-02,38.3425,4.6,spring,Freshet
2020-06-03,37.2425,3.1,spring,Freshet
2020-06-10,23.334166666666665,3.0,spring,Freshet
2020-06-22,13.069583333333334,1.6,spring,Freshet
2020-07-06,12.502916666666666,3.6,summer,Not freshet
2020-07-08,11.674999999999999,1.4,summer,Not freshet
2021-01-29,4.871708333333333,0.87,winter,Not freshet
2021-02-15,4.116833333333333,1.1,winter,Not freshet
2021-04-06,13.159166666666666,3.2,winter,Not freshet
2021-05-03,7.16725,1.4,spring,Freshet
2021-06-07,9.76125,1.3,spring,Freshet
2021-07-05,1.6219583333333334,0.64,summer,Not freshet
2021-08-02,9.998,0.78,summer,Not freshet
2021-09-06,9.334,1.1,winter,Not freshet
2021-10-04,0.3674782608695652,0.78,winter,Not freshet
2021-11-01,1.5842173913043478,1.1,winter,Not freshet
2021-12-06,7.592624999999999,0.79,winter,Not freshet
